train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual,arr_delay,dep_delay
66324_2025-11-02,FEROK66KMHR,2025-11-02 06:25,,2025-11-02 06:26,,,
66324_2025-11-02,KALLAYI128KM,2025-11-02 06:35,,,,,
66324_2025-11-02,KOZHIKKODE35,2025-11-02 06:42,,2025-11-02 06:45,,,
66324_2025-11-02,VELLAYIL,,,,,,
66324_2025-11-02,WESTHILL95KM,,,,,,
66324_2025-11-02,ELATTUR128KM,,,,,,
66324_2025-11-02,CHEMANCHERI,,,,,,
66324_2025-11-02,QUILANDI78KM,2025-11-02 07:13,,2025-11-02 07:14,,,
66324_2025-11-02,VELLARAKKAD,,,,,,
66324_2025-11-02,TIKKOTTI28KM,2025-11-02 07:24,,2025-11-02 07:25,,,
66324_2025-11-02,PAYYOLI,,,,,,
66324_2025-11-02,IRINGAL,,,,,,
66324_2025-11-02,VADAKARA62KM,2025-11-02 07:38,,2025-11-02 07:39,,,
66324_2025-11-02,NADAPURAMROA,,,,,,
66324_2025-11-02,MUKKALI,,,,,,
66324_2025-11-02,MAHE39KMHR,2025-11-02 07:53,,2025-11-02 07:54,,,
66324_2025-11-02,JGNTHTMPLGTE,,,,,,
66324_2025-11-02,THALASSERY12,2025-11-02 08:05,,2025-11-02 08:06,,,
66324_2025-11-02,DHARMADAM,,,,,,
66324_2025-11-02,ETAKKOT31KMH,2025-11-02 08:17,,2025-11-02 08:18,,,
66324_2025-11-02,ADSBYGOOGLEW,,,,,,
66324_2025-11-02,KANNURSOUTH,2025-11-02 08:28,,2025-11-02 08:29,,,
66324_2025-11-02,KANNUR,,,,,,
06556_2025-11-02,THIRUVANANTH,,,2025-11-02 14:15,,,
06556_2025-11-02,VARKALA87KMH,2025-11-02 14:35,,2025-11-02 14:36,,,
06556_2025-11-02,KOLLAM91KMHR,2025-11-02 14:57,,2025-11-02 15:00,,,
06556_2025-11-02,KAYANKULAM11,2025-11-02 15:43,,2025-11-02 15:45,,,
06556_2025-11-02,MAVELIKARA75,2025-11-02 15:56,,2025-11-02 15:57,,,
